"type","listed_in","release_year","total_titles"
Movie,International Movies,2018,340
Movie,International Movies,2017,328
Movie,International Movies,2016,305
Movie,Dramas,2018,304
Movie,Dramas,2017,285
Movie,International Movies,2019,282
Movie,Dramas,2016,265
Movie,Dramas,2019,243
Movie,International Movies,2020,239
TV Show,International TV Shows,2020,214
Movie,International Movies,2015,210
TV Show,International TV Shows,2019,201
Movie,Dramas,2020,195
TV Show,International TV Shows,2018,190
Movie,Dramas,2015,180
Movie,Comedies,2018,178
Movie,Documentaries,2017,172
Movie,Comedies,2017,164
Movie,Comedies,2019,159
Movie,Comedies,2016,150
TV Show,International TV Shows,2021,149
Movie,International Movies,2021,141
Movie,Documentaries,2016,137
TV Show,International TV Shows,2017,136
TV Show,International TV Shows,2016,133
Movie,Comedies,2020,133
TV Show,TV Dramas,2019,133
Movie,Independent Movies,2018,131
TV Show,TV Dramas,2020,127
Movie,International Movies,2014,126
Movie,International Movies,2013,121
Movie,Documentaries,2018,120
Movie,Independent Movies,2017,113
TV Show,TV Dramas,2018,109
TV Show,TV Comedies,2020,105
Movie,Documentaries,2019,104
Movie,Dramas,2014,103
Movie,Independent Movies,2016,101
Movie,Comedies,2015,94
TV Show,International TV Shows,2015,93
Movie,Dramas,2021,92
TV Show,Crime TV Shows,2019,92
Movie,Action & Adventure,2017,89
TV Show,Crime TV Shows,2020,87
Movie,Thrillers,2018,83
Movie,Children & Family Movies,2020,83
Movie,Dramas,2013,83
TV Show,TV Dramas,2021,83
Movie,Children & Family Movies,2019,82
TV Show,TV Comedies,2018,82
Movie,Action & Adventure,2018,81
Movie,Action & Adventure,2016,80
Movie,International Movies,2012,80
TV Show,Crime TV Shows,2018,79
Movie,Comedies,2014,79
Movie,Documentaries,2020,77
TV Show,TV Dramas,2017,77
Movie,Independent Movies,2019,76
TV Show,TV Comedies,2019,75
Movie,International Movies,2010,75
TV Show,Docuseries,2020,74
TV Show,TV Dramas,2016,73
TV Show,TV Comedies,2021,72
Movie,Thrillers,2016,72
Movie,Thrillers,2019,71
Movie,Comedies,2021,70
Movie,Children & Family Movies,2018,69
Movie,Thrillers,2017,68
Movie,Documentaries,2015,67
Movie,Dramas,2010,66
Movie,Dramas,2012,66
Movie,Independent Movies,2015,65
Movie,Comedies,2013,65
TV Show,Kids' TV,2018,64
Movie,Romantic Movies,2018,64
Movie,Romantic Movies,2019,64
Movie,Romantic Movies,2017,64
TV Show,Kids' TV,2020,63
Movie,Romantic Movies,2020,61
TV Show,Docuseries,2018,61
Movie,Comedies,2012,61
Movie,Dramas,2011,60
Movie,Stand-Up Comedy,2018,59
TV Show,Kids' TV,2019,59
Movie,Stand-Up Comedy,2017,58
TV Show,TV Comedies,2017,57
TV Show,Docuseries,2021,57
TV Show,Reality TV,2020,55
Movie,Children & Family Movies,2017,55
Movie,International Movies,2011,55
TV Show,Crime TV Shows,2017,54
Movie,Action & Adventure,2015,53
Movie,Documentaries,2021,53
TV Show,Kids' TV,2017,53
Movie,Comedies,2010,52
Movie,Horror Movies,2018,51
Movie,Comedies,2011,51
Movie,International Movies,2009,50
TV Show,TV Dramas,2015,50
Movie,Dramas,2008,49
Movie,Stand-Up Comedy,2019,49
TV Show,Romantic TV Shows,2019,48
Movie,Music & Musicals,2019,48
TV Show,Crime TV Shows,2021,47
TV Show,International TV Shows,2014,47
Movie,Horror Movies,2017,47
Movie,International Movies,2008,47
TV Show,Docuseries,2019,47
TV Show,TV Comedies,2016,47
Movie,Action & Adventure,2020,46
TV Show,Romantic TV Shows,2016,46
TV Show,Romantic TV Shows,2020,46
TV Show,Kids' TV,2016,46
Movie,Independent Movies,2020,46
Movie,Children & Family Movies,2016,45
Movie,Thrillers,2020,45
TV Show,Reality TV,2021,44
TV Show,Kids' TV,2021,44
Movie,Action & Adventure,2019,44
Movie,Comedies,2008,43
Movie,Music & Musicals,2018,43
TV Show,Reality TV,2019,42
Movie,Sci-Fi & Fantasy,2018,42
Movie,Comedies,2009,42
Movie,Stand-Up Comedy,2020,41
Movie,International Movies,2006,41
Movie,Romantic Movies,2016,41
Movie,Dramas,2009,41
Movie,Children & Family Movies,2021,40
Movie,Romantic Movies,2015,40
TV Show,International TV Shows,2013,40
TV Show,Romantic TV Shows,2018,39
TV Show,Crime TV Shows,2016,39
TV Show,Docuseries,2017,39
Movie,Thrillers,2014,38
Movie,Stand-Up Comedy,2016,37
Movie,Music & Musicals,2020,37
TV Show,TV Comedies,2015,37
TV Show,British TV Shows,2018,37
Movie,Action & Adventure,2021,37
TV Show,Reality TV,2018,36
Movie,Dramas,2006,36
TV Show,International TV Shows,2012,36
TV Show,Docuseries,2016,36
TV Show,TV Action & Adventure,2019,35
Movie,Comedies,2006,35
Movie,Independent Movies,2014,35
TV Show,Romantic TV Shows,2015,34
Movie,Children & Family Movies,2013,34
Movie,Horror Movies,2019,34
TV Show,British TV Shows,2017,34
Movie,Music & Musicals,2017,33
Movie,Thrillers,2021,33
TV Show,British TV Shows,2020,33
Movie,Horror Movies,2016,32
Movie,Dramas,2007,32
TV Show,TV Action & Adventure,2020,32
TV Show,Romantic TV Shows,2021,32
Movie,Thrillers,2015,32
TV Show,Spanish-Language TV Shows,2021,32
Movie,Sports Movies,2016,32
Movie,Independent Movies,2013,32
Movie,International Movies,2007,32
TV Show,Spanish-Language TV Shows,2019,31
Movie,Romantic Movies,2014,31
Movie,Documentaries,2014,31
TV Show,Romantic TV Shows,2017,30
TV Show,British TV Shows,2016,30
Movie,Comedies,2007,30
Movie,Documentaries,2013,30
Movie,Action & Adventure,2010,29
Movie,Action & Adventure,2013,29
Movie,International Movies,2004,29
Movie,Horror Movies,2020,29
Movie,International Movies,2005,29
Movie,Action & Adventure,2012,29
Movie,Sports Movies,2017,29
Movie,Children & Family Movies,2014,29
TV Show,Spanish-Language TV Shows,2020,28
Movie,Action & Adventure,2014,28
TV Show,TV Action & Adventure,2021,28
TV Show,TV Action & Adventure,2018,28
Movie,Music & Musicals,2016,27
TV Show,Spanish-Language TV Shows,2018,27
Movie,Sports Movies,2018,27
Movie,Romantic Movies,2010,27
TV Show,TV Mysteries,2020,27
TV Show,British TV Shows,2019,26
Movie,Dramas,2005,26
Movie,Action & Adventure,2011,26
Movie,Children & Family Movies,2011,26
TV Show,Korean TV Shows,2016,26
TV Show,Korean TV Shows,2017,25
Movie,Independent Movies,2012,25
TV Show,Crime TV Shows,2015,25
Movie,Comedies,2005,25
Movie,Romantic Movies,2021,25
Movie,Sports Movies,2019,25
TV Show,Kids' TV,2015,24
Movie,Action & Adventure,2008,24
Movie,Music & Musicals,2015,24
TV Show,Reality TV,2016,24
TV Show,Anime Series,2018,24
TV Show,International TV Shows,2011,23
Movie,Sci-Fi & Fantasy,2017,23
Movie,Romantic Movies,2011,23
TV Show,Anime Series,2021,23
Movie,Children & Family Movies,2015,23
Movie,Comedies,2004,22
TV Show,TV Dramas,2014,22
Movie,Sci-Fi & Fantasy,2016,22
TV Show,International TV Shows,2010,22
TV Show,British TV Shows,2015,22
TV Show,International TV Shows,2009,21
TV Show,Anime Series,2020,21
Movie,Dramas,2002,21
Movie,Comedies,2003,21
Movie,Comedies,2001,21
TV Show,Docuseries,2015,21
Movie,Children & Family Movies,2012,21
Movie,Action & Adventure,2009,21
Movie,Sci-Fi & Fantasy,2009,21
Movie,Horror Movies,2021,20
TV Show,TV Comedies,2012,20
Movie,Horror Movies,2015,20
Movie,Dramas,2004,20
Movie,Music & Musicals,2013,20
Movie,Sci-Fi & Fantasy,2019,20
Movie,Horror Movies,2014,19
TV Show,Korean TV Shows,2019,19
Movie,Music & Musicals,2021,19
TV Show,TV Sci-Fi & Fantasy,2020,19
Movie,Romantic Movies,2012,19
Movie,International Movies,2003,19
Movie,Dramas,2003,18
TV Show,TV Dramas,2013,18
TV Show,Anime Series,2019,18
TV Show,Korean TV Shows,2018,18
TV Show,Romantic TV Shows,2014,18
Movie,International Movies,2002,18
Movie,Children & Family Movies,2010,18
TV Show,British TV Shows,2021,17
Movie,Music & Musicals,2012,17
Movie,Sports Movies,2020,17
TV Show,TV Horror,2020,17
TV Show,Spanish-Language TV Shows,2016,17
TV Show,Romantic TV Shows,2013,17
Movie,Stand-Up Comedy,2015,17
TV Show,TV Dramas,2012,17
Movie,Dramas,2001,17
Movie,LGBTQ Movies,2020,17
TV Show,Romantic TV Shows,2012,17
Movie,Action & Adventure,2004,17
TV Show,Korean TV Shows,2020,17
Movie,Romantic Movies,2013,16
TV Show,TV Horror,2019,16
TV Show,TV Mysteries,2019,16
Movie,Romantic Movies,2009,16
Movie,Comedies,2000,16
Movie,Independent Movies,2021,16
Movie,Comedies,1998,16
TV Show,Science & Nature TV,2016,16
TV Show,Stand-Up Comedy & Talk Shows,2018,16
Movie,Sci-Fi & Fantasy,2015,16
Movie,LGBTQ Movies,2017,16
TV Show,TV Thrillers,2019,16
Movie,Thrillers,2013,15
Movie,Action & Adventure,2007,15
TV Show,Korean TV Shows,2015,15
Movie,Action & Adventure,2002,15
TV Show,Reality TV,2017,15
TV Show,Docuseries,2014,15
TV Show,Science & Nature TV,2020,15
Movie,Sports Movies,2015,15
Movie,Dramas,1993,15
Movie,Children & Family Movies,2009,15
Movie,Action & Adventure,2003,15
Movie,Horror Movies,2013,15
TV Show,TV Mysteries,2018,15
TV Show,Kids' TV,2014,15
Movie,Sports Movies,2021,15
Movie,Faith & Spirituality,2018,15
TV Show,Teen TV Shows,2019,14
Movie,Independent Movies,2010,14
TV Show,TV Comedies,2013,14
TV Show,TV Comedies,2014,14
TV Show,Science & Nature TV,2018,14
TV Show,TV Mysteries,2021,14
TV Show,TV Sci-Fi & Fantasy,2019,14
Movie,Dramas,1998,14
Movie,Comedies,1997,14
TV Show,TV Sci-Fi & Fantasy,2021,14
Movie,LGBTQ Movies,2019,13
Movie,Children & Family Movies,2008,13
Movie,Thrillers,2010,13
Movie,LGBTQ Movies,2018,13
TV Show,Kids' TV,2012,13
Movie,Sci-Fi & Fantasy,2014,13
Movie,Dramas,2000,13
Movie,Romantic Movies,2005,13
Movie,Romantic Movies,2006,13
Movie,Comedies,1999,13
TV Show,TV Dramas,2010,13
Movie,Dramas,1999,13
Movie,Romantic Movies,2008,13
Movie,Stand-Up Comedy,2021,12
Movie,Independent Movies,2011,12
Movie,Comedies,1996,12
Movie,Independent Movies,2009,12
Movie,Action & Adventure,2005,12
Movie,International Movies,2001,12
Movie,International Movies,1999,12
Movie,Stand-Up Comedy,2012,12
TV Show,Spanish-Language TV Shows,2017,12
Movie,Horror Movies,2009,12
Movie,Thrillers,2009,12
TV Show,Reality TV,2015,12
TV Show,Anime Series,2016,11
Movie,Action & Adventure,2001,11
TV Show,Anime Series,2015,11
Movie,Stand-Up Comedy,2014,11
TV Show,Anime Series,2014,11
Movie,Action & Adventure,2006,11
TV Show,TV Dramas,2009,11
TV Show,TV Horror,2018,11
Movie,Dramas,1997,11
Movie,Comedies,2002,11
TV Show,International TV Shows,2008,11
TV Show,Teen TV Shows,2020,11
TV Show,Crime TV Shows,2014,11
Movie,Music & Musicals,2010,11
Movie,Documentaries,2012,11
Movie,Horror Movies,2010,11
Movie,LGBTQ Movies,2015,11
Movie,Action & Adventure,1997,11
TV Show,British TV Shows,2013,10
Movie,Dramas,1990,10
Movie,Dramas,1995,10
Movie,Romantic Movies,2007,10
Movie,Action & Adventure,1999,10
TV Show,Stand-Up Comedy & Talk Shows,2017,10
Movie,Thrillers,2006,10
TV Show,Korean TV Shows,2012,10
Movie,Music & Musicals,2014,10
TV Show,Kids' TV,2011,10
TV Show,TV Horror,2021,10
Movie,Faith & Spirituality,2017,10
TV Show,Science & Nature TV,2021,10
Movie,Independent Movies,2008,10
Movie,International Movies,1982,10
TV Show,TV Comedies,2011,10
Movie,Music & Musicals,2007,10
TV Show,Anime Series,2017,10
Movie,Music & Musicals,2008,9
TV Show,Docuseries,2013,9
Movie,LGBTQ Movies,2016,9
TV Show,TV Action & Adventure,2016,9
TV Show,Crime TV Shows,2013,9
Movie,Thrillers,2012,9
Movie,Dramas,1982,9
Movie,Sci-Fi & Fantasy,2010,9
TV Show,TV Dramas,2011,9
Movie,International Movies,1997,9
TV Show,Reality TV,2014,9
TV Show,TV Mysteries,2017,9
Movie,International Movies,2000,9
TV Show,Romantic TV Shows,2010,9
Movie,Stand-Up Comedy,2013,9
Movie,Movies,2018,9
TV Show,Romantic TV Shows,2009,9
Movie,Dramas,1994,9
TV Show,Docuseries,2009,9
Movie,Thrillers,2011,9
TV Show,British TV Shows,2012,9
Movie,Comedies,1995,9
Movie,Children & Family Movies,2007,9
Movie,Action & Adventure,2000,9
TV Show,TV Thrillers,2021,9
Movie,Children & Family Movies,2004,9
Movie,Anime Features,2018,8
Movie,Movies,2014,8
Movie,Romantic Movies,2004,8
Movie,Action & Adventure,1995,8
Movie,International Movies,1993,8
Movie,Action & Adventure,1994,8
TV Show,Stand-Up Comedy & Talk Shows,2019,8
TV Show,Kids' TV,2013,8
Movie,Sports Movies,2011,8
TV Show,Kids' TV,2010,8
Movie,Documentaries,2010,8
Movie,Thrillers,2003,8
TV Show,TV Horror,2015,8
Movie,Sports Movies,2014,8
TV Show,Spanish-Language TV Shows,2015,8
TV Show,TV Comedies,2005,8
TV Show,TV Thrillers,2015,8
Movie,LGBTQ Movies,2021,8
Movie,Faith & Spirituality,2019,8
TV Show,Teen TV Shows,2018,8
Movie,Horror Movies,2011,8
Movie,International Movies,1983,8
Movie,Romantic Movies,2003,8
Movie,Dramas,1996,8
Movie,Movies,2015,8
TV Show,Science & Nature TV,2019,8
Movie,Dramas,1989,8
TV Show,TV Action & Adventure,2017,8
TV Show,Teen TV Shows,2021,8
Movie,International Movies,1998,8
TV Show,TV Thrillers,2020,7
Movie,Dramas,1988,7
TV Show,British TV Shows,2014,7
TV Show,Docuseries,2011,7
Movie,Thrillers,2008,7
Movie,Independent Movies,2005,7
Movie,Comedies,1994,7
TV Show,Science & Nature TV,2017,7
Movie,Music & Musicals,2009,7
TV Show,Stand-Up Comedy & Talk Shows,2020,7
Movie,Sci-Fi & Fantasy,2011,7
Movie,Children & Family Movies,2005,7
TV Show,Stand-Up Comedy & Talk Shows,2021,7
TV Show,TV Mysteries,2016,7
Movie,Action & Adventure,1990,7
Movie,International Movies,1985,7
Movie,Sci-Fi & Fantasy,2013,7
TV Show,TV Sci-Fi & Fantasy,2018,7
TV Show,Anime Series,2008,7
Movie,Thrillers,2007,7
Movie,Independent Movies,2006,7
Movie,Classic Movies,1993,7
Movie,Music & Musicals,2005,7
TV Show,TV Thrillers,2018,7
Movie,International Movies,1994,7
Movie,International Movies,1995,7
Movie,Children & Family Movies,2006,7
Movie,Horror Movies,2012,7
TV Show,Science & Nature TV,2015,7
Movie,Documentaries,2011,7
TV Show,Romantic TV Shows,2011,7
TV Show,Kids' TV,2008,6
TV Show,Anime Series,2011,6
Movie,Movies,2011,6
Movie,Action & Adventure,1992,6
Movie,Anime Features,2017,6
Movie,Comedies,1988,6
Movie,Anime Features,2021,6
TV Show,Korean TV Shows,2014,6
Movie,Dramas,1984,6
TV Show,International TV Shows,2006,6
Movie,Dramas,1992,6
Movie,Action & Adventure,1984,6
Movie,Faith & Spirituality,2014,6
TV Show,British TV Shows,2011,6
Movie,International Movies,1984,6
Movie,Dramas,1983,6
Movie,Sci-Fi & Fantasy,2006,6
Movie,Action & Adventure,1980,6
TV Show,Crime TV Shows,2012,6
Movie,Children & Family Movies,2000,6
TV Show,Crime TV Shows,2010,6
Movie,Action & Adventure,1993,6
TV Show,TV Comedies,2009,6
Movie,Children & Family Movies,2003,6
Movie,Comedies,1990,6
Movie,Independent Movies,2007,6
Movie,Stand-Up Comedy,2011,6
Movie,Music & Musicals,2011,6
Movie,Classic Movies,1992,6
Movie,Action & Adventure,1986,6
Movie,Dramas,1991,6
TV Show,TV Mysteries,2015,6
Movie,Anime Features,2019,6
Movie,Romantic Movies,2001,6
Movie,Romantic Movies,1998,6
Movie,Classic Movies,1979,6
Movie,Movies,2016,6
Movie,Anime Features,2016,5
Movie,Music & Musicals,2002,5
Movie,Sci-Fi & Fantasy,2007,5
Movie,Romantic Movies,1997,5
Movie,Horror Movies,2006,5
Movie,Dramas,1980,5
TV Show,TV Action & Adventure,2015,5
Movie,Movies,2017,5
Movie,Comedies,1981,5
TV Show,TV Comedies,2010,5
Movie,Horror Movies,2003,5
TV Show,Anime Series,2010,5
Movie,Independent Movies,1982,5
TV Show,Science & Nature TV,2009,5
Movie,Classic Movies,1981,5
Movie,International Movies,1980,5
Movie,Thrillers,1997,5
Movie,Action & Adventure,1998,5
TV Show,International TV Shows,2003,5
Movie,Comedies,1991,5
Movie,Comedies,1985,5
Movie,Horror Movies,2008,5
Movie,Faith & Spirituality,2020,5
Movie,International Movies,1992,5
Movie,Romantic Movies,2002,5
Movie,Comedies,1992,5
TV Show,Teen TV Shows,2016,5
TV Show,TV Sci-Fi & Fantasy,2014,5
TV Show,TV Action & Adventure,2008,5
Movie,Action & Adventure,1982,5
Movie,Romantic Movies,2000,5
TV Show,TV Sci-Fi & Fantasy,2015,5
Movie,International Movies,1973,5
TV Show,British TV Shows,2009,5
Movie,Dramas,1986,5
Movie,International Movies,1975,5
TV Show,International TV Shows,2004,5
Movie,Classic Movies,1973,5
TV Show,Korean TV Shows,2013,5
Movie,International Movies,1996,5
TV Show,Anime Series,2013,5
Movie,Children & Family Movies,2001,5
TV Show,Teen TV Shows,2017,5
TV Show,Romantic TV Shows,2004,5
Movie,Comedies,1982,5
Movie,International Movies,1981,5
Movie,Documentaries,2008,5
Movie,Classic Movies,1975,5
Movie,International Movies,1989,5
Movie,Sports Movies,2013,5
Movie,Classic Movies,1984,5
Movie,International Movies,1990,5
Movie,Documentaries,2005,5
Movie,Romantic Movies,1996,5
Movie,Sci-Fi & Fantasy,2008,5
Movie,Sci-Fi & Fantasy,2003,5
Movie,Romantic Movies,1995,5
Movie,Sci-Fi & Fantasy,2005,5
Movie,Horror Movies,2007,4
Movie,LGBTQ Movies,2012,4
Movie,Comedies,1974,4
Movie,Classic Movies,1976,4
TV Show,Reality TV,2013,4
TV Show,TV Action & Adventure,2014,4
Movie,Romantic Movies,1999,4
Movie,Dramas,1981,4
Movie,Stand-Up Comedy,1991,4
Movie,Independent Movies,1998,4
Movie,Dramas,1976,4
TV Show,TV Horror,2016,4
Movie,Anime Features,2013,4
Movie,Thrillers,2001,4
Movie,Thrillers,2002,4
TV Show,Kids' TV,2005,4
TV Show,TV Sci-Fi & Fantasy,2017,4
Movie,International Movies,1979,4
Movie,Sci-Fi & Fantasy,2002,4
Movie,Cult Movies,1982,4
Movie,Stand-Up Comedy,2006,4
TV Show,Anime Series,2006,4
Movie,Dramas,1987,4
Movie,Music & Musicals,2003,4
TV Show,Kids' TV,2007,4
Movie,Cult Movies,1996,4
Movie,Children & Family Movies,1993,4
TV Show,TV Horror,2017,4
TV Show,TV Sci-Fi & Fantasy,2016,4
Movie,Thrillers,2004,4
Movie,Children & Family Movies,1989,4
TV Show,TV Dramas,2002,4
Movie,Action & Adventure,1973,4
TV Show,TV Comedies,2008,4
TV Show,TV Dramas,2008,4
Movie,Horror Movies,2000,4
TV Show,Docuseries,2012,4
Movie,Documentaries,2007,4
TV Show,Teen TV Shows,2015,4
Movie,Classic Movies,1967,4
Movie,Action & Adventure,1989,4
Movie,Sports Movies,2008,4
Movie,Cult Movies,2004,4
Movie,Action & Adventure,1983,4
Movie,Thrillers,2005,4
TV Show,Crime TV Shows,2011,4
TV Show,Reality TV,2012,4
Movie,Dramas,1975,4
TV Show,Crime TV Shows,2008,4
Movie,International Movies,1988,4
Movie,Sports Movies,2012,4
Movie,Sci-Fi & Fantasy,2012,4
TV Show,Spanish-Language TV Shows,2010,4
